	NCIH596Sskp140h1_h0	NCIH596Sskp140h2_h0	NCIH596S3skp143hHGF1_h3	NCIH596S3skp143hHGF2_h3	NCIH596S6skp146hHGF1_h6	NCIH596S6skp146hHGF2_h6	NCIH596S12skp1412hHGF1_h12	NCIH596S12skp1412hHGF2_h12
CALCRL:ENSG00000064989	40	41	11	14	12	23	28	18
TAF11:ENSG00000064995	435	565	478	628	428	837	471	320
ANKS1A:ENSG00000064999	862	1114	710	1060	902	1599	1274	573
AP3D1:ENSG00000065000	2707	3593	2455	3485	2982	5309	4891	2475
ZNF76:ENSG00000065029	560	798	284	447	303	489	456	190
SLC9A3R2:ENSG00000065054	181	232	120	181	108	211	156	120
NTHL1:ENSG00000065057	185	260	124	216	146	233	151	117
UHRF1BP1:ENSG00000065060	1068	1362	549	836	465	747	972	482
GNAI3:ENSG00000065135	995	1311	1201	1651	1353	2308	1751	1078
IPO5:ENSG00000065150	1598	2429	1922	2573	2668	4775	3901	2206
OAT:ENSG00000065154	1155	1504	930	1386	1018	1785	1173	760
WDR3:ENSG00000065183	456	583	837	1090	1075	1957	895	565
PKN2:ENSG00000065243	1753	2332	1185	1686	1237	2178	2133	1075
WDR18:ENSG00000065268	457	605	343	513	452	730	417	355
TRAM2:ENSG00000065308	1098	1541	805	1131	897	1859	1814	831
NTN1:ENSG00000065320	16	35	12	27	9	38	25	10
GLP2R:ENSG00000065325	1	0	0	0	0	0	0	0
MCM10:ENSG00000065328	186	286	126	167	165	300	328	160
DGKA:ENSG00000065357	1540	2112	1118	1768	1253	2104	2374	920
ERBB3:ENSG00000065361	220	242	37	65	57	83	166	82
ROPN1:ENSG00000065371	0	0	0	0	0	1	0	0
ANKRD44:ENSG00000065413	24	36	18	20	12	35	64	8
KARS1:ENSG00000065427	1780	2272	1644	2296	2307	3981	2438	1892
ADAT1:ENSG00000065457	553	729	441	653	566	967	814	426
PDIA5:ENSG00000065485	325	407	276	411	329	684	591	344
TBC1D22B:ENSG00000065491	384	527	304	414	326	592	399	224
NDUFB4:ENSG00000065518	1347	1779	1110	1501	1167	2094	1123	1040
SPEN:ENSG00000065526	3267	4360	3440	5180	3234	5760	7740	2550
MYLK:ENSG00000065534	598	818	434	548	446	882	564	298
ZC3H15:ENSG00000065548	1311	1613	1457	1998	1713	3120	2203	1225
MAP2K4:ENSG00000065559	460	624	724	1027	611	1087	771	488
PACC1:ENSG00000065600	159	250	396	621	504	994	310	227
SNAP91:ENSG00000065609	1	5	2	6	2	4	2	0
SLK:ENSG00000065613	1859	2454	1827	2391	1804	3194	3002	1411
CYB5R4:ENSG00000065615	253	323	227	314	262	405	253	203
COL17A1:ENSG00000065618	24387	32215	16794	24424	22047	43760	43638	20201
GSTO2:ENSG00000065621	218	323	143	241	182	271	224	118
SEC61A2:ENSG00000065665	72	103	52	70	66	90	135	70
PRKCQ:ENSG00000065675	49	66	44	74	89	166	131	71
TLE2:ENSG00000065717	234	272	158	218	116	230	147	86
ASB1:ENSG00000065802	868	1298	1149	1705	1426	2584	2081	922
FAM107B:ENSG00000065809	316	395	447	608	499	952	437	318
ME1:ENSG00000065833	517	687	436	658	433	649	377	243
TBC1D1:ENSG00000065882	252	363	254	297	291	477	423	295
CDK13:ENSG00000065883	2223	3018	1805	2699	1847	3217	3015	1517
MTHFD2:ENSG00000065911	1523	1907	1978	2469	2006	3691	1368	1080
SLC9A7:ENSG00000065923	704	915	659	1012	783	1624	1624	714
FOXJ2:ENSG00000065970	519	727	296	446	341	529	666	296
YBX1:ENSG00000065978	6876	8988	6641	9648	7827	13260	7754	6579
PDE4A:ENSG00000065989	142	171	61	86	70	95	145	77
PPP2R5A:ENSG00000066027	978	1299	718	994	769	1251	1094	717
CTNNA2:ENSG00000066032	1	0	0	0	1	0	0	1
ELAVL1:ENSG00000066044	1233	1729	1159	1718	1419	2513	1769	1271
TIE1:ENSG00000066056	0	0	0	0	0	0	1	0
DIP2B:ENSG00000066084	1119	1544	1172	1723	1290	2191	2057	983
SMARCD1:ENSG00000066117	715	1048	614	891	869	1577	1221	705
KDM4A:ENSG00000066135	1104	1391	613	954	684	1189	1056	539
NFYC:ENSG00000066136	693	899	520	735	554	958	698	356
ZMYND12:ENSG00000066185	3	1	1	1	2	2	1	1
SLC9A3:ENSG00000066230	1	1	5	1	1	1	0	1
NGEF:ENSG00000066248	204	263	168	265	169	295	218	132
ASPM:ENSG00000066279	3973	5357	784	1371	1213	2300	3154	1289
CD84:ENSG00000066294	0	0	0	0	0	0	0	0
ELOVL1:ENSG00000066322	1598	2040	1357	2015	2084	4189	2346	1641
SPI1:ENSG00000066336	0	0	0	0	0	0	0	0
ZNRD1:ENSG00000066379	229	301	252	402	338	572	244	205
MPPED2:ENSG00000066382	13	18	6	15	5	6	1	2
CLDN18:ENSG00000066405	0	0	0	0	0	0	0	1
ZBTB11:ENSG00000066422	1251	1751	1520	2204	1636	2995	2011	1080
ATXN3:ENSG00000066427	319	373	127	229	120	218	237	113
GOLGA5:ENSG00000066455	930	1147	704	904	716	1396	905	621
FGFR2:ENSG00000066468	600	800	267	446	269	499	309	176
LRRC40:ENSG00000066557	283	355	176	301	243	384	371	209
ISOC1:ENSG00000066583	195	248	251	302	290	570	243	206
EML1:ENSG00000066629	305	440	248	334	230	488	451	254
TRMT11:ENSG00000066651	167	243	154	169	163	280	192	112
THUMPD1:ENSG00000066654	988	1299	892	1146	945	1628	1156	654
MSANTD3:ENSG00000066697	297	433	379	559	515	806	718	408
KIF26A:ENSG00000066735	1	4	2	2	1	2	3	0
ATG2B:ENSG00000066739	704	981	363	628	328	586	846	378
ARFGEF1:ENSG00000066777	1272	1606	943	1408	852	1620	1561	760
ACSM2B:ENSG00000066813	0	0	0	0	0	0	0	0
ZFAT:ENSG00000066827	169	214	110	168	163	260	173	120
MTFR1:ENSG00000066855	365	462	323	462	400	653	436	333
STAG3:ENSG00000066923	10	19	4	5	2	3	15	2
FECH:ENSG00000066926	166	200	119	158	124	210	89	77
MYO9A:ENSG00000066933	927	1215	691	912	692	1146	1332	509
DDX3Y:ENSG00000067048	1	0	0	0	0	0	0	0
PFKP:ENSG00000067057	1826	2478	1718	2771	2523	4307	4014	2410
IDI1:ENSG00000067064	1698	2173	2051	2906	1699	2661	2055	1309
SP100:ENSG00000067066	1582	1797	945	1333	880	1677	1019	702
KLF6:ENSG00000067082	2163	2839	2140	2858	2305	3987	1944	1125
PLPP1:ENSG00000067113	662	954	462	666	299	543	349	269
NEO1:ENSG00000067141	905	1071	560	839	533	964	853	389
TRAM1:ENSG00000067167	2043	2489	1534	2210	1806	3552	2513	1773
PHKA1:ENSG00000067177	93	132	59	107	87	144	189	99
TNFRSF1A:ENSG00000067182	2363	2999	1849	2788	1665	3113	1917	1316
CACNB1:ENSG00000067191	57	69	57	89	47	79	127	50
EVI5:ENSG00000067208	337	439	444	677	644	1135	766	325
STOML1:ENSG00000067221	193	248	88	146	140	266	193	122
PKM:ENSG00000067225	40755	53155	31351	47478	36474	62745	44142	30398
DHX29:ENSG00000067248	891	1266	832	1070	1025	1721	1479	839
DNTTIP2:ENSG00000067334	1095	1500	1695	2417	1783	2977	1863	941
METTL22:ENSG00000067365	260	349	181	283	206	367	541	181
TP53BP1:ENSG00000067369	1553	2104	970	1659	1077	2026	2032	792
TRO:ENSG00000067445	5	4	4	1	1	0	0	1
RRP15:ENSG00000067533	353	559	505	710	751	1301	938	517
RHOA:ENSG00000067560	3580	4867	3219	4566	3620	6440	3922	3025
DHX8:ENSG00000067596	813	1015	473	744	522	999	802	463
PMS2P4:ENSG00000067601	10	14	9	9	10	15	5	5
PRKCZ:ENSG00000067606	377	453	236	390	268	544	364	218
ZFY:ENSG00000067646	0	0	0	0	0	1	0	0
IARS2:ENSG00000067704	3461	4755	2544	3846	3164	5734	4608	2548
SYT1:ENSG00000067715	25	28	23	30	25	23	36	17
NAV3:ENSG00000067798	156	285	771	1081	1049	1797	1388	599
IDH3G:ENSG00000067829	1128	1474	859	1368	1072	1776	1216	854
ROGDI:ENSG00000067836	576	706	330	468	286	532	298	175
PDZD4:ENSG00000067840	184	282	119	180	114	241	239	132
ATP2B3:ENSG00000067842	1	4	2	1	1	1	1	0
ROCK1:ENSG00000067900	1067	1375	836	1205	902	1584	1634	749
CBFB:ENSG00000067955	214	315	341	532	351	668	446	227
PDK3:ENSG00000067992	159	193	94	133	73	111	107	53
HYAL2:ENSG00000068001	608	759	531	785	684	1360	616	531
HDAC4:ENSG00000068024	243	313	197	302	213	435	390	163
RASSF1:ENSG00000068028	236	302	191	352	278	503	409	258
FGFR3:ENSG00000068078	1814	2490	1009	1487	555	1069	919	434
IFI35:ENSG00000068079	847	845	649	784	584	1120	456	418
HEATR6:ENSG00000068097	374	569	196	353	259	502	402	216
COASY:ENSG00000068120	923	1153	530	790	608	1034	854	515
PLEKHH3:ENSG00000068137	514	673	179	301	128	263	518	211
MEF2A:ENSG00000068305	1243	1602	1428	1925	870	1681	1358	695
OTUD5:ENSG00000068308	872	1080	537	811	438	748	759	385
TFE3:ENSG00000068323	1470	1922	1142	1611	1226	2130	1883	1062
TBC1D25:ENSG00000068354	476	652	409	568	435	687	543	342
ACSL4:ENSG00000068366	3138	4037	5092	6708	6614	11617	6441	3868
INPP5A:ENSG00000068383	204	241	206	292	257	421	288	170
GPKOW:ENSG00000068394	504	734	382	626	438	816	616	425
GRIPAP1:ENSG00000068400	1095	1525	683	1023	679	1237	1426	489
FTSJ1:ENSG00000068438	682	933	611	956	829	1595	1045	763
PRR11:ENSG00000068489	738	953	410	634	417	638	613	402
REEP1:ENSG00000068615	152	179	64	123	61	114	84	64
ATP11A:ENSG00000068650	944	1258	626	932	706	1202	1478	523
POLR1A:ENSG00000068654	1392	1877	1557	2170	2045	3788	3040	1199
LAPTM4A:ENSG00000068697	2817	3326	1959	2938	2005	3943	1943	1564
TTC7A:ENSG00000068724	846	1102	588	813	670	1196	1153	628
IP6K2:ENSG00000068745	1135	1510	667	1108	697	1214	1049	580
STON1-GTF2A1L:ENSG00000068781	0	0	0	0	0	4	0	0
SRBD1:ENSG00000068784	179	233	138	154	139	261	237	113
KIF2A:ENSG00000068796	805	1076	857	1182	887	1531	1319	625
RASGRP2:ENSG00000068831	17	20	5	14	5	11	13	10
PSME4:ENSG00000068878	1471	2056	1820	2658	1782	3339	2705	1338
IFT80:ENSG00000068885	812	1049	348	589	332	556	576	282
SIRT2:ENSG00000068903	623	833	488	656	479	858	653	368
ERLEC1:ENSG00000068912	821	897	605	887	712	1363	880	663
PPP2R5B:ENSG00000068971	378	499	519	772	654	1184	925	538
PYGM:ENSG00000068976	5	7	6	5	1	0	1	3
PAGE1:ENSG00000068985	0	0	0	0	0	0	1	0
PITX1:ENSG00000069011	1743	2257	1280	1746	1211	1960	1267	1032
TRPC7:ENSG00000069018	0	0	0	0	0	0	0	0
MAST4:ENSG00000069020	965	1330	679	1033	1145	1960	1741	747
ADGRF5:ENSG00000069122	27	38	14	19	13	19	7	6
SDK2:ENSG00000069188	2	1	0	0	1	1	1	0
ADAM7:ENSG00000069206	0	0	0	0	0	0	0	0
NUP133:ENSG00000069248	1056	1511	727	1159	879	1605	1279	750
NUCKS1:ENSG00000069275	10723	13709	7069	10134	6827	11783	8749	5313
VPS35:ENSG00000069329	1595	1989	1299	1828	1420	2256	1570	1085
DNAJA2:ENSG00000069345	941	1153	1235	1727	1229	2315	1047	785
BCL3:ENSG00000069399	345	534	364	487	223	381	283	142
KCNAB2:ENSG00000069424	527	670	362	563	329	605	331	171
ABCC9:ENSG00000069431	2	3	1	2	3	8	8	3
GAL:ENSG00000069482	20	22	16	23	22	34	34	25
CLEC2D:ENSG00000069493	49	43	12	16	7	12	38	14
FUNDC1:ENSG00000069509	238	347	160	243	163	252	209	153
MAOB:ENSG00000069535	844	1012	733	1066	631	950	565	264
RORA:ENSG00000069667	58	66	35	62	28	48	110	37
DRD4:ENSG00000069696	1	2	1	3	0	3	3	0
TGFBR3:ENSG00000069702	1341	1662	467	734	433	742	930	477
PLA2G10:ENSG00000069764	4	5	3	4	2	6	4	2
HES2:ENSG00000069812	233	276	125	152	68	157	120	85
ATP1B3:ENSG00000069849	9464	12203	7015	9545	7136	14808	8534	6253
NEDD4:ENSG00000069869	1974	2697	1872	2650	1869	3073	2617	1329
PIGB:ENSG00000069943	199	270	124	146	125	233	198	132
MAPK6:ENSG00000069956	2578	3287	2326	3180	2236	4005	2745	1718
GNB5:ENSG00000069966	856	1126	576	795	498	940	935	544
RAB27A:ENSG00000069974	490	590	395	570	403	726	642	388
HDHD5:ENSG00000069998	417	549	321	520	452	812	632	406
UFD1:ENSG00000070010	726	930	543	858	620	1098	822	596
LRP6:ENSG00000070018	360	449	290	454	344	611	712	299
GUCY2C:ENSG00000070019	1	0	1	1	0	0	0	0
SCT:ENSG00000070031	0	0	0	0	0	0	0	0
PHRF1:ENSG00000070047	1060	1572	1143	1701	1261	2220	1960	882
ELP1:ENSG00000070061	1069	1427	859	1311	1030	1828	1841	901
NUCB2:ENSG00000070081	1391	1692	960	1249	859	1760	1486	904
PFN2:ENSG00000070087	1966	2427	1567	2299	1536	2649	1544	1122
PTPN3:ENSG00000070159	674	972	507	707	535	1033	1022	472
SPTB:ENSG00000070182	10	15	9	10	4	8	4	3
DAPP1:ENSG00000070190	202	267	384	508	323	663	218	152
FGF10:ENSG00000070193	0	0	0	0	0	0	0	0
SLC44A1:ENSG00000070214	2665	3411	1633	2213	1652	3228	2010	1361
TMEM260:ENSG00000070269	227	268	145	196	156	273	252	124
SMG6:ENSG00000070366	507	717	336	539	419	758	756	307
EXOC5:ENSG00000070367	1193	1605	1180	1537	1231	2248	1797	1023
CLTCL1:ENSG00000070371	126	183	87	150	90	140	267	79
FGF22:ENSG00000070388	0	0	0	0	0	0	0	0
FSTL3:ENSG00000070404	334	464	407	662	526	1053	710	405
DGCR2:ENSG00000070413	2202	2897	1368	1985	1726	3173	2395	1420
RNF126:ENSG00000070423	384	566	553	814	694	1249	729	487
MNT:ENSG00000070444	791	1024	588	869	405	644	942	320
ZXDC:ENSG00000070476	918	1241	698	1026	874	1340	1970	678
JMJD6:ENSG00000070495	290	371	562	915	593	1016	730	401
POLB:ENSG00000070501	159	202	170	237	184	326	128	117
ST6GALNAC1:ENSG00000070526	42	53	27	23	7	21	7	3
WIPI1:ENSG00000070540	183	235	142	231	151	245	147	121
FRMPD1:ENSG00000070601	1	3	0	4	0	4	1	2
GBA2:ENSG00000070610	578	860	536	951	775	1358	1315	503
NDST1:ENSG00000070614	3710	4807	3019	4089	3244	6278	5337	2703
ASNS:ENSG00000070669	1115	1337	915	1153	853	1606	612	495
AP3M2:ENSG00000070718	188	316	179	282	192	365	404	181
CNGB1:ENSG00000070729	0	3	1	3	0	1	1	0
ST6GALNAC2:ENSG00000070731	748	955	470	591	265	543	311	165
CHAT:ENSG00000070748	0	0	0	0	0	0	0	0
PABPC1:ENSG00000070756	9709	12924	8817	12339	10056	18905	12981	7477
TESK2:ENSG00000070759	78	86	31	44	9	23	26	16
CFAP20:ENSG00000070761	378	497	316	474	378	670	373	252
CSNK2A2:ENSG00000070770	920	1278	1001	1404	1095	1963	1529	784
PTPN21:ENSG00000070778	407	574	391	578	485	867	733	310
EIF2B3:ENSG00000070785	285	413	276	409	388	675	492	365
CAMK2A:ENSG00000070808	20	6	6	9	3	4	5	0
TCOF1:ENSG00000070814	1372	1910	1373	1910	2043	3489	3087	1465
CDC42:ENSG00000070831	2782	3727	2811	3785	3169	5360	3174	2470
OSBPL3:ENSG00000070882	1675	2456	2227	3232	2123	3747	3780	1549
EPHA8:ENSG00000070886	0	0	0	1	0	1	1	0
SLC12A3:ENSG00000070915	172	213	83	117	52	126	68	22
RAD18:ENSG00000070950	294	424	272	449	364	639	552	266
ATP2B1:ENSG00000070961	1527	1838	2393	3195	2349	4702	3145	1433
TRPM5:ENSG00000070985	0	0	0	1	0	0	0	0
NCK2:ENSG00000071051	315	445	266	347	263	520	345	251
MAP4K4:ENSG00000071054	2840	3641	3194	4683	4553	8196	8446	4454
MGAT4A:ENSG00000071073	82	120	63	114	83	179	163	66
RPL31:ENSG00000071082	3693	4613	3220	4533	3530	6403	3580	3050
WDR1:ENSG00000071127	2631	3717	4590	6358	6178	11499	7005	4901
SNX13:ENSG00000071189	2467	3191	1514	2214	1534	2612	2141	1160
MS4A12:ENSG00000071203	0	0	0	0	0	0	0	0
ARHGAP10:ENSG00000071205	280	349	220	350	221	417	307	193
RPS6KA2:ENSG00000071242	302	410	253	416	353	649	594	334
ING3:ENSG00000071243	174	195	110	111	117	184	116	59
VASH1:ENSG00000071246	33	29	7	15	12	16	29	13
LMCD1:ENSG00000071282	25	27	19	22	9	23	14	8
BUD23:ENSG00000071462	671	919	602	901	750	1302	1187	669
SEL1L:ENSG00000071537	2770	3438	2164	2998	1946	3795	2334	1389
TRIP13:ENSG00000071539	1226	1733	999	1385	1357	2306	1573	1127
ATP6AP1:ENSG00000071553	3942	5235	2597	4062	3233	6189	4174	2530
TCF3:ENSG00000071564	1355	1933	1175	1747	1401	2585	2275	1258
TRIB2:ENSG00000071575	470	769	384	606	476	816	798	398
DAZAP1:ENSG00000071626	1434	2047	1074	1713	1530	2614	3263	1449
MBD3:ENSG00000071655	1516	2053	1176	1690	1525	2795	1971	1191
PRLH:ENSG00000071677	0	0	0	0	0	0	0	0
HLTF:ENSG00000071794	926	1304	586	828	517	993	1198	584
FAM50A:ENSG00000071859	1495	2030	1066	1684	1411	2466	2158	1331
FAM3A:ENSG00000071889	1410	1730	979	1391	1231	2287	1582	1076
CPSF1:ENSG00000071894	1153	1658	763	1294	1007	1637	1973	829
MYO3B:ENSG00000071909	4	8	3	1	0	5	2	2
CYBRD1:ENSG00000071967	2321	2816	1599	2008	1029	2292	872	661
CDH19:ENSG00000071991	0	0	0	0	0	0	0	0
PDCD2:ENSG00000071994	367	485	364	608	474	843	454	369
SLC6A15:ENSG00000072041	1	5	3	1	1	9	2	2
RDH11:ENSG00000072042	2078	2649	1268	1843	1746	3202	2668	1800
PRKACA:ENSG00000072062	783	1157	625	958	643	1178	936	629
ADGRL1:ENSG00000072071	1337	1884	972	1366	925	1844	2461	977
SPP2:ENSG00000072080	0	0	0	0	0	1	0	0
ACTN1:ENSG00000072110	4169	5824	6871	9592	9845	19372	12982	7397
ZFYVE26:ENSG00000072121	885	1179	403	601	489	912	1052	414
RPS6KA6:ENSG00000072133	8	9	5	9	3	16	11	3
EPN2:ENSG00000072134	747	1056	683	1101	746	1322	1241	660
PTPN18:ENSG00000072135	774	973	519	779	564	962	855	420
LIMS2:ENSG00000072163	6	7	3	12	4	6	5	1
ASIC4:ENSG00000072182	2	4	0	1	0	3	4	0
SPEG:ENSG00000072195	472	660	242	418	312	538	909	276
LNX1:ENSG00000072201	8	13	1	7	6	0	0	1
ALDH3A2:ENSG00000072210	5649	7307	3488	5176	2781	4478	2963	1907
TFRC:ENSG00000072274	15240	19856	13770	19846	15512	27062	21548	12584
SREBF1:ENSG00000072310	4365	5466	1992	2946	1509	2830	3109	1544
TRPC5:ENSG00000072315	0	0	0	0	0	0	0	0
AFF4:ENSG00000072364	3465	4277	3644	5166	2942	5232	5279	2545
UBE2D1:ENSG00000072401	122	145	123	170	113	229	144	88
MPP5:ENSG00000072415	1026	1233	605	861	736	1233	1255	734
RHOBTB1:ENSG00000072422	37	65	24	54	34	66	75	47
SMC1A:ENSG00000072501	4180	5415	2784	3938	3060	5867	6090	2664
HSD17B10:ENSG00000072506	1006	1196	784	1160	1055	1865	1009	915
MARK2:ENSG00000072518	958	1358	1120	1585	1262	2245	1786	834
HMMR:ENSG00000072571	1429	2075	565	901	508	727	606	384
CHFR:ENSG00000072609	258	344	254	346	300	550	430	217
TRHDE:ENSG00000072657	0	0	0	0	0	0	0	0
P4HA2:ENSG00000072682	1141	1436	650	965	683	1359	1164	712
FCGR2B:ENSG00000072694	1	0	0	2	0	0	0	0
NFATC3:ENSG00000072736	744	912	408	586	471	794	669	374
TRNT1:ENSG00000072756	125	197	165	249	244	402	266	131
ACADVL:ENSG00000072778	3195	4191	2259	3715	2506	4328	3510	1905
STK10:ENSG00000072786	581	733	983	1368	1107	1964	1357	722
FBXW11:ENSG00000072803	1092	1442	1045	1514	1321	2249	1428	949
ACAP1:ENSG00000072818	5	5	0	6	0	5	2	1
CRMP1:ENSG00000072832	0	0	0	0	0	0	0	0
EVC:ENSG00000072840	985	1317	944	1246	845	1499	1425	569
DERL2:ENSG00000072849	808	1048	667	946	797	1524	746	578
SIDT1:ENSG00000072858	3	6	4	3	2	3	1	1
NDE1:ENSG00000072864	1317	1789	1196	1636	975	1841	1210	822
MRVI1:ENSG00000072952	16	22	10	14	3	9	3	0
TMEM38A:ENSG00000072954	812	972	492	716	484	896	465	367
AP1M1:ENSG00000072958	841	1245	757	1000	929	1546	1264	807
PVR:ENSG00000073008	1443	1885	2221	3058	2740	5271	2691	1545
XRCC1:ENSG00000073050	580	762	277	456	341	625	529	335
SCARB1:ENSG00000073060	3191	3899	2589	3747	2715	4715	2882	1565
CYP2W1:ENSG00000073067	1	0	0	1	0	0	1	0
MCM2:ENSG00000073111	2787	3518	1777	2664	1891	3307	2909	1777
MOV10L1:ENSG00000073146	1	0	0	1	0	0	0	0
PANX2:ENSG00000073150	335	398	239	306	226	363	277	175
SELENOO:ENSG00000073169	289	406	275	416	337	618	513	284
TP63:ENSG00000073282	2518	3248	1497	1927	1289	2390	1829	1215
ALPK1:ENSG00000073331	406	567	156	233	107	176	192	93
LLGL2:ENSG00000073350	409	483	255	370	197	377	376	218
PDE8A:ENSG00000073417	467	610	411	593	465	855	768	397
CLCN4:ENSG00000073464	28	52	27	60	44	55	63	28
NLE1:ENSG00000073536	148	227	249	353	312	622	292	191
SDHA:ENSG00000073578	7092	9223	7446	10904	11304	22550	16143	10079
SMARCE1:ENSG00000073584	681	839	497	751	565	925	698	439
FNDC8:ENSG00000073598	0	0	0	0	0	0	0	0
GSDMB:ENSG00000073605	68	56	18	45	24	34	48	10
KDM5A:ENSG00000073614	644	926	410	624	454	804	820	380
ADAM11:ENSG00000073670	15	25	12	28	6	19	13	11
PPP2R3A:ENSG00000073711	283	357	292	457	201	363	340	186
FERMT2:ENSG00000073712	271	449	737	1069	618	1145	648	366
ABCB11:ENSG00000073734	10	17	8	14	7	15	5	3
DHRS9:ENSG00000073737	678	923	1300	1944	1886	3776	1293	901
CD5L:ENSG00000073754	0	1	0	0	0	0	0	1
PTGS2:ENSG00000073756	5187	6537	10435	12904	7988	13417	4448	3014
IGF2BP2:ENSG00000073792	662	831	953	1312	995	1708	1661	815
MAP3K13:ENSG00000073803	620	803	482	616	522	836	629	434
ST6GAL1:ENSG00000073849	14	16	6	11	9	24	12	5
TBX21:ENSG00000073861	0	0	0	0	0	0	0	0
VDAC1P1:ENSG00000073905	13	15	12	12	10	21	18	12
FRY:ENSG00000073910	34	47	24	36	14	46	49	22
PICALM:ENSG00000073921	2518	3261	3399	4455	3572	6421	4471	2566
NSF:ENSG00000073969	606	739	394	636	606	957	744	402
GLI2:ENSG00000074047	93	111	180	282	119	136	130	44
CLASP1:ENSG00000074054	1253	1748	684	1133	674	1255	1644	670
MRPS34:ENSG00000074071	1210	1732	952	1542	1267	2251	1163	1101
NOTCH3:ENSG00000074181	918	1190	557	718	411	1153	708	402
CLNS1A:ENSG00000074201	1148	1505	923	1262	983	1758	1111	765
PPP2R2C:ENSG00000074211	333	504	331	473	423	731	749	408
TEAD2:ENSG00000074219	530	692	325	484	249	399	414	287
EED:ENSG00000074266	365	495	227	348	296	548	504	261
CDHR2:ENSG00000074276	13	10	9	13	3	17	19	5
SNCB:ENSG00000074317	1	1	0	0	0	1	2	0
TSG101:ENSG00000074319	752	947	582	815	614	1146	585	496
NCBP3:ENSG00000074356	682	1006	555	906	682	1247	1320	513
ATP2A3:ENSG00000074370	208	237	112	158	127	255	182	111
CA12:ENSG00000074410	1660	2151	1142	1826	1362	2226	1590	926
MGLL:ENSG00000074416	762	1018	1241	1551	1700	3475	2658	1730
NTN4:ENSG00000074527	2165	2855	2111	2883	1903	3927	1797	1072
BCS1L:ENSG00000074582	283	308	196	320	284	493	422	212
NUAK1:ENSG00000074590	320	370	117	163	118	239	277	161
DPP8:ENSG00000074603	827	1113	721	976	712	1265	1214	649
SLC24A1:ENSG00000074621	214	275	116	189	92	185	156	84
ZNF532:ENSG00000074657	660	966	445	601	378	692	766	311
SCARF1:ENSG00000074660	19	18	6	9	1	4	12	6
LMAN1:ENSG00000074695	1680	2163	1144	1601	1294	2457	2129	1247
HACD3:ENSG00000074696	1916	2515	1218	1777	1567	2982	2097	1484
IPCEF1:ENSG00000074706	2	2	0	1	0	3	1	1
ZZEF1:ENSG00000074755	1432	2000	908	1367	1069	1868	2535	885
NOX3:ENSG00000074771	0	0	0	0	0	0	0	0
ENO1:ENSG00000074800	36802	47308	28359	42881	35159	61624	36235	29992
SLC12A1:ENSG00000074803	0	0	0	0	0	0	0	0
MYDGF:ENSG00000074842	1476	1800	1211	1812	1648	2908	1798	1478
ANO8:ENSG00000074855	532	726	398	499	249	523	484	191
TUBE1:ENSG00000074935	200	224	165	236	162	342	222	97
ARHGEF10L:ENSG00000074964	308	446	164	251	196	367	368	148
TXK:ENSG00000074966	8	10	8	11	8	8	4	2
WSCD2:ENSG00000075035	0	0	0	0	0	0	0	0
KCNQ2:ENSG00000075043	3	1	2	2	0	4	0	3
TACR2:ENSG00000075073	8	6	3	3	3	8	3	2
ACTR6:ENSG00000075089	197	251	168	238	175	297	206	134
TIPIN:ENSG00000075131	199	250	199	270	240	445	264	165
SRI:ENSG00000075142	372	437	295	413	381	619	370	255
EIF4G3:ENSG00000075151	1967	2709	1321	1983	1562	2756	3130	1271
NUP37:ENSG00000075188	260	380	184	260	195	353	223	161
SEMA3A:ENSG00000075213	111	171	138	215	231	401	473	254
GTSE1:ENSG00000075218	485	647	169	256	243	426	438	224
SEMA3C:ENSG00000075223	2005	2539	1903	2595	1945	3589	2093	1176
TTC38:ENSG00000075234	182	224	108	191	149	265	198	108
ACAT1:ENSG00000075239	619	822	486	675	502	821	565	375
GRAMD4:ENSG00000075240	323	382	175	254	183	360	257	158
CELSR1:ENSG00000075275	3404	4238	2182	3251	2072	4119	3504	1364
WNT8B:ENSG00000075290	0	0	1	0	0	0	0	0
ZNF638:ENSG00000075292	1864	2549	1164	1839	1408	2498	2617	1197
SLC25A40:ENSG00000075303	301	380	201	266	180	294	297	164
TIMM21:ENSG00000075336	132	190	107	156	141	224	189	125
ADD2:ENSG00000075340	0	0	0	1	1	0	0	0
FGF4:ENSG00000075388	0	0	0	0	0	0	0	0
RASAL2:ENSG00000075391	787	1092	1310	1905	1186	2189	2349	913
VPS9D1:ENSG00000075399	273	349	179	254	164	284	342	130
ZNF37A:ENSG00000075407	442	579	351	480	396	683	659	303
MARK3:ENSG00000075413	683	949	702	1032	926	1808	1359	692
SLC25A3:ENSG00000075415	3196	4547	2892	4283	3575	6233	3432	2659
FNDC3B:ENSG00000075420	2833	3678	2890	3938	2622	4522	4149	1967
FOSL2:ENSG00000075426	3817	4747	2282	3438	1514	2492	3105	1662
CACNG5:ENSG00000075429	0	0	0	0	0	0	0	0
CACNG4:ENSG00000075461	121	154	78	118	66	101	78	56
FRYL:ENSG00000075539	2074	2846	1442	2019	1426	2687	3093	1332
TMEM131:ENSG00000075568	1788	2405	1380	1925	1566	3038	3200	1329
FSCN1:ENSG00000075618	17529	26086	24763	34562	32318	58952	36312	26288
ACTB:ENSG00000075624	47511	69913	102967	130183	148374	299921	176900	125911
MOCOS:ENSG00000075643	408	467	312	452	318	611	413	235
PLD1:ENSG00000075651	581	745	214	318	172	267	272	137
