	EBC1SAMP0h1_h0	EBC1SAMP0h2_h0	EBC1S3AMP3hHGF1_h3	EBC1S3AMP3hHGF2_h3	EBC1S6AMP6hHGF1_h6	EBC1S6AMP6hHGF2_h6	EBC1S12AMP12hHGF1_h12	EBC1S12AMP12hHGF2_h12
PLA2G3:ENSG00000100078	0	0	0	0	0	0	0	0
LGALS2:ENSG00000100079	0	0	0	0	0	0	0	0
GGA1:ENSG00000100083	630	654	510	726	762	667	600	935
HIRA:ENSG00000100084	666	599	451	623	712	620	747	1252
SH3BP1:ENSG00000100092	68	60	64	51	64	53	40	92
SEZ6L:ENSG00000100095	0	0	0	0	0	0	0	0
LGALS1:ENSG00000100097	3367	3337	3043	3843	4033	3633	3601	5740
HPS4:ENSG00000100099	922	948	522	716	771	648	541	968
PIK3IP1:ENSG00000100100	184	143	94	163	187	148	136	251
Z83844.1:ENSG00000100101	1	0	0	0	2	0	0	2
SRRD:ENSG00000100104	254	250	173	231	290	231	257	437
PATZ1:ENSG00000100105	520	578	299	401	481	349	444	693
TRIOBP:ENSG00000100106	617	709	439	618	521	474	387	681
TFIP11:ENSG00000100109	677	706	539	673	895	734	710	1246
GCAT:ENSG00000100116	114	89	97	109	116	112	88	167
GGTLC2:ENSG00000100121	0	0	0	0	0	0	0	0
CRYBB1:ENSG00000100122	0	0	0	0	0	0	0	0
ANKRD54:ENSG00000100124	267	243	214	280	353	293	300	590
EIF3L:ENSG00000100129	2121	2071	1723	2296	2521	2178	2321	3929
SNU13:ENSG00000100138	2376	2239	2044	2578	3067	2608	3305	5755
MICALL1:ENSG00000100139	524	576	474	664	655	581	518	839
POLR2F:ENSG00000100142	287	256	232	347	371	327	378	647
SOX10:ENSG00000100146	0	0	0	0	0	0	0	0
CCDC134:ENSG00000100147	55	52	51	68	69	65	39	68
DEPDC5:ENSG00000100150	154	137	105	151	175	152	116	181
PICK1:ENSG00000100151	228	240	207	269	310	243	208	405
TTC28:ENSG00000100154	3	2	1	2	1	1	0	1
SLC16A8:ENSG00000100156	1	0	0	0	0	0	0	0
CENPM:ENSG00000100162	639	581	471	665	496	438	308	523
SEPTIN3:ENSG00000100167	26	37	22	27	46	25	44	68
SLC5A1:ENSG00000100170	0	1	0	0	0	0	0	3
TPTEP1:ENSG00000100181	0	0	1	0	0	0	0	0
SLC5A4:ENSG00000100191	0	0	0	1	0	0	0	0
KDELR3:ENSG00000100196	40	32	44	55	64	53	77	129
CYP2D6:ENSG00000100197	28	31	13	19	28	32	13	42
DDX17:ENSG00000100201	3002	2920	3180	3951	5397	4571	4449	7801
DMC1:ENSG00000100206	3	0	1	2	2	3	2	6
TCF20:ENSG00000100207	2559	2707	1897	2723	3501	3179	2933	4879
HSCB:ENSG00000100209	56	58	41	46	57	51	54	75
CBY1:ENSG00000100211	319	305	259	319	290	252	270	486
TOMM22:ENSG00000100216	440	421	413	514	545	469	553	971
RSPH14:ENSG00000100218	0	0	0	0	0	0	0	0
XBP1:ENSG00000100219	2154	2314	2301	2764	2577	2194	2854	4464
RTCB:ENSG00000100220	1274	1242	946	1171	1332	1170	1214	2229
JOSD1:ENSG00000100221	1227	1205	868	1121	1203	1019	1036	1885
FBXO7:ENSG00000100225	871	810	597	744	744	673	749	1225
GTPBP1:ENSG00000100226	732	782	508	695	843	699	639	1092
POLDIP3:ENSG00000100227	2941	2961	2363	3576	4280	3575	3812	6580
RAB36:ENSG00000100228	0	0	0	0	0	0	0	0
TIMP3:ENSG00000100234	15	17	28	44	45	42	34	51
PPP6R2:ENSG00000100239	0	0	0	0	0	0	0	0
SBF1:ENSG00000100241	0	0	1	0	0	0	0	0
SUN2:ENSG00000100242	1172	1202	904	1177	1238	1169	908	1401
CYB5R3:ENSG00000100243	1987	1985	1729	2315	2601	2322	2346	3787
DNAL4:ENSG00000100246	586	532	436	564	649	521	570	978
C22orf31:ENSG00000100249	0	0	0	0	0	0	0	0
MIOX:ENSG00000100253	0	0	0	1	0	2	1	0
LMF2:ENSG00000100258	363	420	234	317	344	252	225	404
RHBDD3:ENSG00000100263	239	246	180	219	292	277	269	453
PACSIN2:ENSG00000100266	2385	2320	1928	2553	2601	2291	1937	3401
TTLL1:ENSG00000100271	20	13	6	11	10	7	10	14
RASL10A:ENSG00000100276	20	14	13	17	28	26	26	41
AP1B1:ENSG00000100280	1484	1625	1014	1467	1691	1397	1354	2293
HMGXB4:ENSG00000100281	406	375	328	470	493	336	425	726
TOM1:ENSG00000100284	1050	964	628	937	1031	849	803	1517
NEFH:ENSG00000100285	0	0	0	0	0	0	0	0
CHKB:ENSG00000100288	337	320	209	269	373	329	312	587
BIK:ENSG00000100290	292	296	403	497	751	631	848	1687
HMOX1:ENSG00000100292	750	543	674	966	607	476	464	1022
MCAT:ENSG00000100294	152	132	85	87	136	158	169	272
THOC5:ENSG00000100296	299	330	194	300	346	365	282	536
MCM5:ENSG00000100297	776	741	605	704	508	431	307	470
APOBEC3H:ENSG00000100298	0	1	0	1	0	0	0	1
ARSA:ENSG00000100299	104	122	55	61	79	65	54	127
TSPO:ENSG00000100300	138	163	128	169	169	137	164	236
RASD2:ENSG00000100302	119	116	39	43	33	20	15	24
TTLL12:ENSG00000100304	523	563	466	602	644	566	653	1143
CBX7:ENSG00000100307	82	84	72	74	41	36	21	53
PDGFB:ENSG00000100311	533	525	276	397	296	266	158	239
ACR:ENSG00000100312	0	3	2	0	0	1	1	1
CABP7:ENSG00000100314	0	0	0	0	3	1	2	3
RPL3:ENSG00000100316	9828	9548	7402	9785	9743	8278	7955	13718
ZMAT5:ENSG00000100319	85	98	79	127	129	120	111	181
RBFOX2:ENSG00000100320	2483	2480	1567	2089	2382	2134	2122	3561
SYNGR1:ENSG00000100321	0	0	3	1	2	3	0	2
TAB1:ENSG00000100324	148	151	88	119	92	109	86	144
ASCC2:ENSG00000100325	911	952	713	905	1025	944	996	1646
MTMR3:ENSG00000100330	1283	1310	719	1116	1378	1138	1112	1986
MIEF1:ENSG00000100335	866	922	554	745	931	896	998	1556
APOL4:ENSG00000100336	0	0	4	4	4	3	5	6
PNPLA5:ENSG00000100341	0	0	0	0	0	0	0	0
APOL1:ENSG00000100342	180	192	110	166	109	101	32	70
PNPLA3:ENSG00000100344	26	19	19	29	27	15	14	32
MYH9:ENSG00000100345	19003	20317	15764	22991	28889	24717	21266	35998
CACNA1I:ENSG00000100346	0	0	0	1	0	1	1	1
SAMM50:ENSG00000100347	262	233	171	222	223	202	210	347
TXN2:ENSG00000100348	479	480	381	491	619	452	479	804
FOXRED2:ENSG00000100350	287	332	245	313	414	310	294	569
GRAP2:ENSG00000100351	0	0	0	0	0	0	0	0
EIF3D:ENSG00000100353	2704	2661	2103	2925	3561	3109	3969	6961
TNRC6B:ENSG00000100354	939	990	702	929	1213	1081	916	1540
SGSM3:ENSG00000100359	408	396	236	387	342	333	231	419
IFT27:ENSG00000100360	176	143	104	126	132	124	97	160
PVALB:ENSG00000100362	0	0	0	0	0	0	0	0
KIAA0930:ENSG00000100364	129	128	60	114	103	82	75	139
NCF4:ENSG00000100365	0	0	1	0	0	0	0	0
CSF2RB:ENSG00000100368	0	0	0	0	0	0	0	0
SLC25A17:ENSG00000100372	168	209	144	161	225	168	220	330
UPK3A:ENSG00000100373	0	0	0	0	0	0	0	0
FAM118A:ENSG00000100376	157	146	127	180	216	172	144	295
KCTD17:ENSG00000100379	28	28	17	19	18	14	21	24
ST13:ENSG00000100380	1467	1343	1304	1606	1958	1676	1860	3182
IL2RB:ENSG00000100385	3	3	0	1	1	0	3	2
RBX1:ENSG00000100387	232	230	241	293	292	248	331	574
EP300:ENSG00000100393	4762	4757	4659	6613	9091	7767	8376	12793
L3MBTL2:ENSG00000100395	475	463	380	538	689	554	565	1001
CHADL:ENSG00000100399	1	5	2	3	5	6	4	8
RANGAP1:ENSG00000100401	4085	4175	3079	4039	4727	4024	4000	7043
ZC3H7B:ENSG00000100403	2536	2688	1501	2068	2467	2075	1867	3264
PHF5A:ENSG00000100410	1190	1164	1091	1326	1731	1501	1715	2911
ACO2:ENSG00000100412	1532	1573	1170	1749	1957	1673	1637	2998
POLR3H:ENSG00000100413	754	796	520	714	686	563	659	1245
TRMU:ENSG00000100416	396	404	285	373	453	382	378	692
PMM1:ENSG00000100417	445	406	374	497	622	471	422	849
DESI1:ENSG00000100418	1372	1298	990	1272	1627	1361	1124	2076
CERK:ENSG00000100422	352	338	305	326	295	291	298	493
BRD1:ENSG00000100425	1392	1458	1101	1464	1985	1752	1821	3313
ZBED4:ENSG00000100426	472	487	286	432	537	463	436	744
MLC1:ENSG00000100427	0	0	0	0	0	0	0	0
HDAC10:ENSG00000100429	153	177	80	128	128	104	77	155
KCNK10:ENSG00000100433	0	0	1	0	0	0	0	0
ABHD4:ENSG00000100439	1078	985	971	1313	1266	1107	1176	2007
KHNYN:ENSG00000100441	2245	2149	1820	2522	3264	2589	2138	4071
FKBP3:ENSG00000100442	214	195	153	196	248	180	233	344
SDR39U1:ENSG00000100445	337	327	215	301	365	302	263	474
CTSG:ENSG00000100448	0	0	0	0	0	0	0	0
GZMH:ENSG00000100450	0	0	0	0	0	0	0	0
GZMB:ENSG00000100453	0	0	0	0	0	0	0	0
RBM23:ENSG00000100461	1900	1851	1623	2175	2404	1866	2093	3623
PRMT5:ENSG00000100462	1026	1124	715	1000	1265	1067	1299	2316
COCH:ENSG00000100473	0	0	0	0	0	1	0	0
AP4S1:ENSG00000100478	136	132	115	114	160	139	157	259
POLE2:ENSG00000100479	11	11	12	10	5	1	5	7
VCPKMT:ENSG00000100483	206	207	207	234	326	311	357	620
SOS2:ENSG00000100485	902	805	820	904	1148	1028	1057	1882
CDKL1:ENSG00000100490	6	13	2	8	6	7	15	28
NIN:ENSG00000100503	128	142	90	93	97	89	84	112
PYGL:ENSG00000100504	0	4	4	3	12	7	3	8
TRIM9:ENSG00000100505	4	1	3	4	2	4	8	11
PSMC6:ENSG00000100519	2097	1874	1708	1964	2632	2341	2403	4139
GNPNAT1:ENSG00000100522	1126	1111	1213	1422	1892	1588	2048	3338
DDHD1:ENSG00000100523	160	169	119	164	222	187	136	228
CDKN3:ENSG00000100526	62	64	85	87	113	65	68	114
CNIH1:ENSG00000100528	489	441	348	440	549	475	609	1027
CGRRF1:ENSG00000100532	181	177	129	188	237	190	160	325
ATP6V1D:ENSG00000100554	4193	3863	3819	4570	5630	4832	5254	8734
CCDC198:ENSG00000100557	0	0	0	0	0	0	0	0
PLEK2:ENSG00000100558	792	810	578	847	924	745	638	1030
PIGH:ENSG00000100564	43	49	44	42	53	64	49	92
LRRC74A:ENSG00000100565	0	0	0	0	0	0	0	0
PSMA3:ENSG00000100567	2072	1886	2021	2227	2347	2098	2168	3665
VTI1B:ENSG00000100568	1199	1204	938	1210	1250	1075	1085	1870
TIMM9:ENSG00000100575	691	646	516	700	897	834	981	1514
GSTZ1:ENSG00000100577	278	275	183	258	239	238	179	305
KIAA0586:ENSG00000100578	1906	1909	1510	2031	3237	2780	3098	5104
TMED8:ENSG00000100580	527	467	339	464	497	402	388	638
SAMD15:ENSG00000100583	31	22	14	19	33	27	15	26
AHSA1:ENSG00000100591	1051	1035	856	1087	1280	1105	1225	2148
DAAM1:ENSG00000100592	4548	4563	3450	4305	5505	4719	4096	7320
ISM2:ENSG00000100593	3	4	3	1	4	1	2	6
SPTLC2:ENSG00000100596	526	601	464	674	792	692	565	1123
RIN3:ENSG00000100599	266	260	188	210	143	136	149	255
LGMN:ENSG00000100600	1835	2021	1412	2066	2678	2244	2019	3769
ALKBH1:ENSG00000100601	433	426	450	532	703	594	744	1134
SNW1:ENSG00000100603	1781	1820	1534	1982	2298	1946	2291	3757
CHGA:ENSG00000100604	0	0	1	1	1	0	1	2
ITPK1:ENSG00000100605	707	694	573	813	778	643	635	1103
DHRS7:ENSG00000100612	1092	1067	843	1067	1367	1228	1193	2022
PPM1A:ENSG00000100614	1474	1354	926	1091	1292	1074	1189	1809
SIX4:ENSG00000100625	1255	1209	1179	1596	2113	1981	1583	2648
GALNT16:ENSG00000100626	0	1	0	0	1	0	1	2
ASB2:ENSG00000100628	4	9	8	19	33	24	13	27
CEP128:ENSG00000100629	76	70	79	96	95	78	59	90
ERH:ENSG00000100632	775	799	737	892	902	760	873	1571
HIF1A:ENSG00000100644	12630	12757	11364	13887	20233	18144	18249	30886
SUSD6:ENSG00000100647	1141	1173	1009	1377	1839	1548	1275	2361
SRSF5:ENSG00000100650	2783	2739	2569	3283	3900	3477	2361	4777
SLC10A1:ENSG00000100652	0	0	0	0	0	0	0	0
EIF5:ENSG00000100664	8102	7860	8208	9994	13277	11658	11464	19641
SERPINA4:ENSG00000100665	0	0	1	0	0	0	0	0
SLC8A3:ENSG00000100678	0	0	0	0	0	1	1	0
DICER1:ENSG00000100697	1293	1377	850	1034	1773	1588	1489	2599
ZFYVE21:ENSG00000100711	249	202	139	156	148	134	158	289
MTHFD1:ENSG00000100714	1717	1715	1206	1716	1583	1393	1336	2456
TCL1A:ENSG00000100721	0	0	0	0	0	0	0	0
ZC3H14:ENSG00000100722	1285	1253	917	1112	1358	1199	1215	2065
TELO2:ENSG00000100726	505	508	314	355	467	438	368	675
PCNX1:ENSG00000100731	1340	1309	943	1183	1458	1346	1307	2200
BDKRB1:ENSG00000100739	0	0	0	0	0	0	0	0
GSKIP:ENSG00000100744	487	509	631	790	949	817	802	1310
VRK1:ENSG00000100749	254	241	240	262	263	218	227	418
PSMC1:ENSG00000100764	3314	2974	2694	3430	4358	3299	3926	6427
PAPLN:ENSG00000100767	84	81	29	45	31	31	16	29
RPS6KA5:ENSG00000100784	77	76	68	87	91	56	67	113
PPP4R3A:ENSG00000100796	2139	2054	1820	2329	2826	2456	2582	4316
C14orf93:ENSG00000100802	59	56	46	45	31	30	22	47
PSMB5:ENSG00000100804	475	515	397	545	587	527	578	973
YY1:ENSG00000100811	3239	3095	2493	2882	3555	3356	3989	6517
ACIN1:ENSG00000100813	2999	3085	2288	3132	3750	3196	3076	5118
CCNB1IP1:ENSG00000100814	733	729	705	856	872	733	770	1333
TRIP11:ENSG00000100815	2587	2611	2221	2577	4313	3790	3813	6212
APEX1:ENSG00000100823	1266	1263	858	1067	1302	1044	1340	2361
PABPN1:ENSG00000100836	938	898	661	910	1101	953	966	1714
EFS:ENSG00000100842	0	0	0	0	0	0	0	0
ARHGAP5:ENSG00000100852	2769	2783	2087	2574	3875	3412	2694	4468
CINP:ENSG00000100865	298	302	240	259	308	269	239	437
DHRS2:ENSG00000100867	2917	2549	2333	3191	4082	3551	2992	5200
SRP54:ENSG00000100883	3572	3288	3341	3885	5058	4501	4768	8048
CPNE6:ENSG00000100884	0	0	0	0	0	0	0	0
CHD8:ENSG00000100888	1509	1604	1000	1448	1884	1709	1745	2618
PCK2:ENSG00000100889	270	279	212	270	230	181	129	234
PRORP:ENSG00000100890	1123	1085	720	740	1071	1021	834	1566
DCAF11:ENSG00000100897	613	604	458	602	691	532	517	873
PSMA6:ENSG00000100902	5829	5445	4383	5423	5985	5155	5157	8770
NFKBIA:ENSG00000100906	2353	2611	2147	2945	3078	2484	1819	3348
EMC9:ENSG00000100908	148	136	127	170	178	144	164	326
PSME2:ENSG00000100911	562	553	402	528	561	476	385	674
BRMS1L:ENSG00000100916	243	240	198	229	249	234	215	404
REC8:ENSG00000100918	19	20	14	19	14	15	12	22
TM9SF1:ENSG00000100926	588	630	475	676	557	640	620	1153
SEC23A:ENSG00000100934	298	306	306	392	328	323	303	443
GMPR2:ENSG00000100938	321	294	210	297	319	258	210	363
PNN:ENSG00000100941	2222	2288	1744	2059	3506	3092	2531	4986
RABGGTA:ENSG00000100949	89	95	75	107	93	80	70	133
NFATC4:ENSG00000100968	71	77	47	51	28	24	22	20
PLTP:ENSG00000100979	22	24	15	21	24	10	17	20
PCIF1:ENSG00000100982	442	467	263	363	359	329	281	544
GSS:ENSG00000100983	505	493	377	517	510	379	453	784
MMP9:ENSG00000100985	10	29	8	7	8	15	10	17
VSX1:ENSG00000100987	96	88	50	70	74	70	68	114
TRPC4AP:ENSG00000100991	1750	1697	1332	1875	2201	1850	1711	3008
PYGB:ENSG00000100994	1335	1324	1286	1734	1863	1565	1418	2447
ABHD12:ENSG00000100997	595	535	466	684	663	600	512	1015
PROCR:ENSG00000101000	14	5	7	5	6	3	6	5
GINS1:ENSG00000101003	83	106	81	96	81	60	57	93
NINL:ENSG00000101004	13	7	4	5	11	8	5	12
CD40:ENSG00000101017	93	116	54	91	61	64	41	70
UQCC1:ENSG00000101019	1690	1515	1233	1655	1936	1726	1719	3022
ZMYND8:ENSG00000101040	2378	2433	1674	2150	3382	2716	2417	4562
SGK2:ENSG00000101049	5	5	0	0	5	3	3	8
IFT52:ENSG00000101052	697	609	540	698	732	616	582	1046
MYBL2:ENSG00000101057	766	787	587	839	627	498	386	603
R3HDML:ENSG00000101074	0	0	0	0	0	0	0	0
HNF4A:ENSG00000101076	0	0	0	0	2	0	0	0
NDRG3:ENSG00000101079	173	165	143	165	149	128	89	157
SLA2:ENSG00000101082	0	0	0	0	0	0	0	0
RAB5IF:ENSG00000101084	1603	1522	1230	1591	1569	1480	1578	2737
NFATC2:ENSG00000101096	16	20	16	17	37	31	26	42
RIMS4:ENSG00000101098	4	6	2	4	2	6	0	2
PABPC1L:ENSG00000101104	725	654	430	526	741	599	493	932
STK4:ENSG00000101109	802	803	757	974	1261	1113	854	1416
SALL4:ENSG00000101115	3	2	1	2	0	2	0	2
ADNP:ENSG00000101126	2439	2401	2309	2908	3351	2756	2891	4626
PFDN4:ENSG00000101132	125	120	125	170	170	148	148	259
DOK5:ENSG00000101134	0	0	0	0	0	0	0	0
CSTF1:ENSG00000101138	1206	1213	842	1116	1401	1045	1187	2046
BMP7:ENSG00000101144	0	0	1	0	0	0	0	0
RAE1:ENSG00000101146	2089	2053	1744	2255	2793	2416	2873	5086
TPD52L2:ENSG00000101150	6260	6303	5790	7743	9560	8195	9620	16433
DNAJC5:ENSG00000101152	3439	3566	2300	3079	3485	2920	3085	5309
NELFCD:ENSG00000101158	1361	1315	1102	1417	1586	1363	1621	2677
CTSZ:ENSG00000101160	378	447	351	455	446	375	363	619
PRPF6:ENSG00000101161	1745	1642	1337	1867	1932	1673	1520	2712
TUBB1:ENSG00000101162	1	1	4	2	0	3	0	0
PRELID3B:ENSG00000101166	915	904	852	999	1099	1058	1143	1842
HRH3:ENSG00000101180	0	1	1	1	1	2	0	1
MTG2:ENSG00000101181	1197	1280	1012	1400	1893	1595	1640	2935
PSMA7:ENSG00000101182	3948	3785	3323	4257	4837	4254	4497	7593
SLCO4A1:ENSG00000101187	523	575	456	638	1048	883	811	1378
NTSR1:ENSG00000101188	0	0	0	1	2	2	0	1
MRGBP:ENSG00000101189	567	519	372	472	491	444	436	782
TCFL5:ENSG00000101190	170	173	164	165	156	153	161	266
DIDO1:ENSG00000101191	2483	2639	2407	3282	4086	3781	4598	7130
GID8:ENSG00000101193	1536	1522	1275	1626	1846	1592	1753	2947
SLC17A9:ENSG00000101194	0	0	1	1	1	1	2	3
BIRC7:ENSG00000101197	0	0	0	0	0	0	0	0
NKAIN4:ENSG00000101198	0	3	0	2	2	3	0	2
ARFGAP1:ENSG00000101199	2134	2269	1438	2071	2448	2098	1817	3386
AVP:ENSG00000101200	0	0	0	0	0	0	0	0
COL20A1:ENSG00000101203	25	21	19	32	81	77	52	106
CHRNA4:ENSG00000101204	0	0	0	0	0	4	1	0
EEF1A2:ENSG00000101210	5450	5608	3844	5292	5198	4646	3779	6429
PTK6:ENSG00000101213	145	180	114	113	123	117	88	184
GMEB2:ENSG00000101216	965	1047	956	1276	1591	1228	1179	2087
C20orf27:ENSG00000101220	250	234	165	237	230	175	225	408
SPEF1:ENSG00000101222	11	9	4	6	12	5	4	12
CDC25B:ENSG00000101224	628	578	426	617	565	426	378	607
ISM1:ENSG00000101230	1	3	0	1	4	4	1	10
RNF24:ENSG00000101236	686	703	542	749	962	856	752	1086
ARFRP1:ENSG00000101246	292	312	177	265	300	225	162	337
NDUFAF5:ENSG00000101247	260	268	155	175	298	262	261	516
SEL1L2:ENSG00000101251	0	0	0	0	0	0	0	0
TRIB3:ENSG00000101255	7371	7285	7703	8908	6034	5105	6702	11030
RASSF2:ENSG00000101265	1	1	0	0	1	1	1	1
CSNK2A1:ENSG00000101266	3757	3832	3097	4079	4569	4077	4346	7312
SLC52A3:ENSG00000101276	134	153	88	140	121	104	73	143
RPS10P5:ENSG00000101278	0	2	1	1	0	1	1	2
ANGPT4:ENSG00000101280	3	4	1	3	5	0	7	4
RSPO4:ENSG00000101282	0	0	0	0	1	1	0	1
CDS2:ENSG00000101290	958	992	588	711	695	646	602	1007
PROKR2:ENSG00000101292	0	0	0	0	0	0	0	0
HM13:ENSG00000101294	2014	2264	1881	2484	3252	2879	3208	5519
SNPH:ENSG00000101298	40	44	25	32	17	15	10	20
MYLK2:ENSG00000101306	6	15	10	19	20	24	18	20
SIRPB1:ENSG00000101307	0	0	1	0	0	3	0	0
SEC23B:ENSG00000101310	2217	2307	2029	2761	3572	3174	3352	5672
FERMT1:ENSG00000101311	770	812	489	672	860	735	736	1170
HAO1:ENSG00000101323	0	0	0	0	0	1	0	0
PDYN:ENSG00000101327	0	0	0	0	0	0	0	2
CCM2L:ENSG00000101331	10	9	32	20	45	28	50	83
PLCB4:ENSG00000101333	2	1	0	1	1	1	0	1
MYL9:ENSG00000101335	19	3	32	63	43	25	31	78
HCK:ENSG00000101336	0	0	1	0	0	0	0	1
TM9SF4:ENSG00000101337	1233	1364	819	1206	1445	1310	1219	2016
TLDC2:ENSG00000101342	0	0	0	0	0	0	0	0
CRNKL1:ENSG00000101343	1319	1347	1106	1461	1925	1595	1605	2713
POFUT1:ENSG00000101346	822	970	621	839	1049	899	953	1725
SAMHD1:ENSG00000101347	532	556	361	558	609	559	494	835
PAK5:ENSG00000101349	0	0	0	0	0	0	0	0
KIF3B:ENSG00000101350	1440	1422	1069	1414	1602	1305	1185	2066
MROH8:ENSG00000101353	64	68	59	62	76	63	44	115
NOP56:ENSG00000101361	4250	4491	3626	5150	7289	6268	6495	12047
MANBAL:ENSG00000101363	1338	1248	1110	1478	1648	1432	1639	2775
IDH3B:ENSG00000101365	1260	1228	940	1344	1437	1253	1392	2400
MAPRE1:ENSG00000101367	2471	2519	3281	4102	4926	4192	4324	6783
JAG1:ENSG00000101384	3298	3696	3976	5751	6415	5824	3999	7295
CDK5RAP1:ENSG00000101391	899	946	589	731	930	759	748	1349
SNTA1:ENSG00000101400	92	93	98	117	118	87	93	184
OXT:ENSG00000101405	0	0	0	0	0	0	0	0
TTI1:ENSG00000101407	638	658	420	619	754	646	606	1055
E2F1:ENSG00000101412	265	259	238	268	215	166	120	222
RPRD1B:ENSG00000101413	1292	1188	662	871	1246	1073	1048	1777
PXMP4:ENSG00000101417	81	101	65	89	76	75	56	85
CHMP4B:ENSG00000101421	4242	4168	3575	4417	5034	4506	4737	7920
BPI:ENSG00000101425	0	0	0	0	0	0	0	0
CST9L:ENSG00000101435	0	0	0	0	0	0	0	0
SLC32A1:ENSG00000101438	0	0	0	0	0	1	0	0
CST3:ENSG00000101439	325	312	286	338	369	329	317	557
ASIP:ENSG00000101440	0	0	0	1	0	0	0	0
CST4:ENSG00000101441	0	1	1	0	0	0	0	0
ACTR5:ENSG00000101442	90	103	70	85	141	105	107	215
WFDC2:ENSG00000101443	168	157	128	187	172	142	137	227
AHCY:ENSG00000101444	1830	1851	1425	2019	2027	1642	1556	2690
PPP1R16B:ENSG00000101445	0	0	0	0	1	0	0	2
SPINT3:ENSG00000101446	0	0	0	0	0	0	0	0
FAM83D:ENSG00000101447	71	71	170	269	191	179	152	302
EPPIN:ENSG00000101448	0	0	0	0	0	0	0	0
DHX35:ENSG00000101452	275	257	246	364	325	296	316	564
DNTTIP1:ENSG00000101457	3030	3014	2531	3192	3702	3124	3578	6441
MAP1LC3A:ENSG00000101460	0	1	0	0	0	3	1	3
SYNDIG1:ENSG00000101463	0	0	0	0	0	0	0	0
PIGU:ENSG00000101464	49	60	52	55	66	49	46	81
TNNC2:ENSG00000101470	6	4	4	7	7	6	10	19
ACOT8:ENSG00000101473	544	528	432	487	621	545	523	872
APMAP:ENSG00000101474	1096	1187	981	1277	1444	1284	1187	2147
CELF4:ENSG00000101489	0	0	0	0	1	0	0	0
ZNF516:ENSG00000101493	167	157	98	116	135	146	75	151
CDH20:ENSG00000101542	0	0	0	0	1	0	0	0
ADNP2:ENSG00000101544	417	379	363	447	602	523	412	732
RBFA:ENSG00000101546	26	20	12	14	23	11	16	33
USP14:ENSG00000101557	1124	1097	1030	1250	1376	1156	1224	1985
VAPA:ENSG00000101558	4139	3854	3918	4456	5663	4936	5874	9910
METTL4:ENSG00000101574	275	289	267	298	274	260	251	426
LPIN2:ENSG00000101577	826	761	587	753	1033	891	862	1588
SMCHD1:ENSG00000101596	2025	1855	2110	2439	3172	2649	2454	4183
MYOM1:ENSG00000101605	6	3	2	6	8	10	2	9
MYL12A:ENSG00000101608	5830	5463	5138	6497	7669	6800	7474	12692
CEP76:ENSG00000101624	250	216	355	470	530	502	536	823
ST8SIA5:ENSG00000101638	1	2	0	0	0	2	8	7
CEP192:ENSG00000101639	736	779	630	804	946	774	664	1183
RNMT:ENSG00000101654	1387	1335	1373	1590	2258	1787	2103	3515
SMAD7:ENSG00000101665	229	206	152	202	213	180	153	277
LIPG:ENSG00000101670	185	209	304	414	664	629	365	676
LAMA1:ENSG00000101680	4	8	11	25	33	42	51	91
RNF125:ENSG00000101695	17	23	22	22	31	26	25	54
ANKRD12:ENSG00000101745	1945	1843	1617	1814	2912	2416	2469	4204
NOL4:ENSG00000101746	5	8	5	1	2	1	1	2
POLI:ENSG00000101751	511	469	261	285	417	353	305	517
MIB1:ENSG00000101752	2153	2154	1682	2037	2874	2707	2398	3893
RBBP8:ENSG00000101773	1023	898	906	977	925	799	713	1185
RIOK3:ENSG00000101782	10475	10461	8818	11538	15011	13428	15209	24760
CSTF2:ENSG00000101811	313	311	225	287	340	331	319	546
H2BW2:ENSG00000101812	0	0	0	0	0	0	0	0
MXRA5:ENSG00000101825	0	3	0	0	0	0	0	0
VSIG1:ENSG00000101842	9	10	10	6	22	18	16	28
PSMD10:ENSG00000101843	721	667	597	759	847	725	777	1296
ATG4A:ENSG00000101844	379	367	257	311	416	345	372	677
STS:ENSG00000101846	37	35	31	52	47	42	45	72
TBL1X:ENSG00000101849	170	194	118	148	122	95	82	166
GPR143:ENSG00000101850	0	0	0	0	0	0	0	0
PGRMC1:ENSG00000101856	1208	1110	1056	1304	1541	1380	1339	2285
POLA1:ENSG00000101868	688	674	556	675	677	567	429	677
MID1:ENSG00000101871	604	574	327	521	647	535	392	658
NKAP:ENSG00000101882	508	412	417	531	600	462	563	958
RHOXF1:ENSG00000101883	0	0	0	0	1	0	0	0
NXT2:ENSG00000101888	299	309	225	242	342	319	319	420
GUCY2F:ENSG00000101890	0	0	0	0	0	0	0	1
ATP1B4:ENSG00000101892	1	0	0	1	1	1	0	1
MCTS2P:ENSG00000101898	10	21	11	15	17	11	16	23
ALG13:ENSG00000101901	799	730	726	842	1377	1259	1181	1917
PRPS2:ENSG00000101911	114	90	140	158	157	132	143	217
TLR8:ENSG00000101916	0	0	0	0	0	0	0	0
MOSPD1:ENSG00000101928	937	883	895	1164	1469	1250	1381	2335
AMMECR1:ENSG00000101935	603	695	417	618	704	600	606	929
CHRDL1:ENSG00000101938	0	0	0	0	0	0	0	0
WDR13:ENSG00000101940	452	458	367	477	484	433	474	865
SUV39H1:ENSG00000101945	92	89	54	67	67	47	58	115
PAGE4:ENSG00000101951	0	0	0	0	0	0	0	0
SRPX:ENSG00000101955	4	1	1	2	2	3	0	2
