	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
GSPT1:ENSG00000103342	4907	5697	5304	4524	5870	5324	8530	5996
ZNF174:ENSG00000103343	91	91	53	58	54	46	95	56
CLUAP1:ENSG00000103351	236	233	166	181	157	138	158	127
UBFD1:ENSG00000103353	1932	1966	1780	1512	2072	1934	2900	1941
PRSS33:ENSG00000103355	0	1	0	0	0	0	0	0
EARS2:ENSG00000103356	419	515	544	409	579	496	515	328
ELOB:ENSG00000103363	1103	1301	1244	955	1273	1137	1788	1210
GGA2:ENSG00000103365	1169	1305	1410	1094	1468	1430	1777	1195
AQP8:ENSG00000103375	0	0	1	0	1	0	0	0
CPPED1:ENSG00000103381	609	604	598	501	623	557	806	606
USP31:ENSG00000103404	453	449	401	312	470	404	1053	684
HMOX2:ENSG00000103415	456	408	474	387	452	381	700	546
DNAJA3:ENSG00000103423	1848	1951	1837	1481	1804	1625	2863	1958
CORO7-PAM16:ENSG00000103426	0	0	12	0	0	0	0	0
BFAR:ENSG00000103429	2041	2156	2277	1844	2335	2034	3055	2160
SALL1:ENSG00000103449	13	12	26	24	52	47	66	43
TOX3:ENSG00000103460	118	118	146	121	185	152	272	232
RBL2:ENSG00000103479	603	492	450	363	425	408	464	357
QPRT:ENSG00000103485	2	2	6	1	2	2	1	1
XYLT1:ENSG00000103489	17	17	20	14	77	93	88	58
PYCARD:ENSG00000103490	40	42	35	21	23	23	34	17
RPGRIP1L:ENSG00000103494	275	226	230	207	297	268	342	285
MAZ:ENSG00000103495	1334	1280	1153	901	1243	1142	1674	1212
STX4:ENSG00000103496	451	457	345	241	360	308	426	362
CDIPT:ENSG00000103502	1148	1245	1237	920	1230	1051	1624	1184
BCKDK:ENSG00000103507	138	135	94	77	109	86	119	98
KAT8:ENSG00000103510	464	449	482	312	449	384	536	337
NOMO1:ENSG00000103512	2810	2588	2621	2009	2735	2562	3141	2324
IL21R:ENSG00000103522	5	10	7	2	1	2	1	2
SYT17:ENSG00000103528	239	205	160	115	148	129	240	163
TMC5:ENSG00000103534	337	294	400	320	427	411	570	440
CCP110:ENSG00000103540	639	620	724	639	817	749	900	698
VPS35L:ENSG00000103544	674	690	714	591	832	710	824	639
SLC6A2:ENSG00000103546	0	1	0	0	0	0	0	0
RNF40:ENSG00000103549	3991	4268	5295	4163	5705	5049	6713	4526
KNOP1:ENSG00000103550	644	604	425	371	411	355	731	527
AQP9:ENSG00000103569	0	0	0	0	0	0	0	0
AAGAB:ENSG00000103591	2443	2812	2791	2458	3517	2907	4428	3284
IQCH:ENSG00000103599	18	21	42	24	23	28	35	19
LACTB:ENSG00000103642	238	250	201	178	219	205	440	336
CORO2B:ENSG00000103647	16	38	56	45	114	86	230	139
CSK:ENSG00000103653	479	412	454	379	458	343	494	344
HERC1:ENSG00000103657	1687	1333	1930	1603	2056	1876	2997	2080
TRIP4:ENSG00000103671	517	529	560	446	625	545	789	607
MTFMT:ENSG00000103707	178	184	125	105	155	160	275	185
RASL12:ENSG00000103710	0	1	0	0	0	3	1	0
AP3B2:ENSG00000103723	11	9	22	18	16	22	33	15
ACSBG1:ENSG00000103740	1	6	1	4	0	1	1	4
IGDCC4:ENSG00000103742	226	226	235	169	195	184	341	224
RAB11A:ENSG00000103769	1799	1725	1701	1392	1769	1562	2496	1844
CTSH:ENSG00000103811	71	68	62	38	62	71	68	46
GOLGA8UP:ENSG00000103832	1	0	0	0	1	0	0	0
TTC23:ENSG00000103852	204	221	175	140	216	205	264	203
CD276:ENSG00000103855	365	297	345	242	316	282	466	363
FAH:ENSG00000103876	74	74	69	44	61	43	50	38
CEMIP:ENSG00000103888	42	40	57	40	67	40	75	57
RPAP1:ENSG00000103932	400	414	537	359	548	489	655	488
HOMER2:ENSG00000103942	132	123	139	105	186	176	363	247
EHD4:ENSG00000103966	657	681	810	633	836	788	1260	854
TMEM87A:ENSG00000103978	1299	1412	1671	1495	2186	1996	2389	1743
ZNF106:ENSG00000103994	1205	1220	1222	1087	1393	1314	2297	1561
CEP152:ENSG00000103995	163	188	185	159	164	174	181	106
ATP8B4:ENSG00000104043	16	20	14	14	17	14	10	8
OCA2:ENSG00000104044	0	0	0	0	0	0	0	0
DTWD1:ENSG00000104047	274	312	247	210	275	258	492	323
TGM5:ENSG00000104055	0	0	2	1	0	1	0	0
FAM189A1:ENSG00000104059	5	3	3	5	1	5	6	3
GABPB1:ENSG00000104064	838	930	1161	1007	1319	1191	1935	1365
TJP1:ENSG00000104067	8085	8139	9868	8304	12223	10902	16133	11227
BMF:ENSG00000104081	112	84	275	210	138	148	135	58
DMXL2:ENSG00000104093	1152	835	1124	898	1284	1158	1809	1193
SCG3:ENSG00000104112	2	3	0	0	0	3	0	2
DNAJC17:ENSG00000104129	36	30	25	32	25	40	53	38
EIF3J:ENSG00000104131	1692	1997	2097	1994	2524	2350	3176	2365
SPG11:ENSG00000104133	965	772	1099	976	1345	1219	1508	1116
RHOV:ENSG00000104140	21	10	15	13	9	6	21	16
VPS18:ENSG00000104142	506	550	551	415	554	508	869	595
OIP5:ENSG00000104147	51	48	40	43	41	35	18	21
SLC30A4:ENSG00000104154	74	49	47	45	54	60	97	103
BLOC1S6:ENSG00000104164	598	676	723	595	776	774	1084	744
MYEF2:ENSG00000104177	1235	1326	1577	1487	2134	1886	2379	1733
SGK3:ENSG00000104205	27	48	59	65	65	49	93	53
PDGFRL:ENSG00000104213	34	33	23	11	19	16	21	11
CSPP1:ENSG00000104218	309	286	353	323	439	354	592	458
ZDHHC2:ENSG00000104219	447	347	373	338	466	450	710	517
BRF2:ENSG00000104221	569	607	515	419	630	546	811	604
TRIM35:ENSG00000104228	540	522	369	306	324	279	728	566
ZFAND1:ENSG00000104231	402	387	464	397	494	489	743	535
RP1:ENSG00000104237	0	0	1	0	0	2	0	0
CA2:ENSG00000104267	7	5	4	7	6	12	11	10
FZD3:ENSG00000104290	371	241	268	230	266	280	542	339
INTS9:ENSG00000104299	448	488	509	418	643	570	886	636
RIPK2:ENSG00000104312	412	457	507	402	543	454	712	500
EYA1:ENSG00000104313	0	0	0	0	2	1	3	3
NBN:ENSG00000104320	714	671	556	533	605	539	860	623
TRPA1:ENSG00000104321	53	36	22	26	30	30	48	27
CPQ:ENSG00000104324	9	11	11	10	7	12	16	6
DECR1:ENSG00000104325	216	252	194	166	259	213	276	216
CALB1:ENSG00000104327	0	4	0	1	3	0	0	1
IMPAD1:ENSG00000104331	2388	2106	2586	2168	2960	2705	3597	2505
SFRP1:ENSG00000104332	389	251	205	168	243	223	532	408
LAPTM4B:ENSG00000104341	1499	1543	1432	1102	1445	1175	1861	1286
UBE2W:ENSG00000104343	678	706	996	886	1266	1200	1540	1020
POP1:ENSG00000104356	227	189	209	198	215	220	454	354
NIPAL2:ENSG00000104361	36	26	34	23	36	23	41	36
IKBKB:ENSG00000104365	757	778	796	582	822	745	1145	683
PLAT:ENSG00000104368	49	38	40	30	56	47	50	36
JPH1:ENSG00000104369	1	1	2	0	2	2	4	0
DKK4:ENSG00000104371	0	0	0	0	0	0	0	0
STK3:ENSG00000104375	359	362	435	385	542	450	606	421
GDAP1:ENSG00000104381	307	336	377	293	469	402	601	441
RAB2A:ENSG00000104388	2335	2310	2431	2255	3047	2753	3996	2844
EIF3E:ENSG00000104408	2371	2595	2533	2199	2636	2326	3294	2293
EMC2:ENSG00000104412	298	240	272	245	309	235	417	316
ESRP1:ENSG00000104413	9	5	3	5	4	0	14	6
CCN4:ENSG00000104415	0	0	1	0	0	0	0	0
NDRG1:ENSG00000104419	1546	2010	2342	1915	2849	2609	3813	2672
ZC2HC1A:ENSG00000104427	161	143	135	136	148	156	244	169
IL7:ENSG00000104432	0	1	0	0	1	1	0	0
STMN2:ENSG00000104435	0	0	0	0	0	0	0	0
ARMC1:ENSG00000104442	1031	1102	1071	937	1082	957	1464	1028
TRPS1:ENSG00000104447	45	38	55	42	61	54	125	92
SPAG1:ENSG00000104450	295	271	449	390	690	604	874	576
CHRAC1:ENSG00000104472	749	928	890	794	1025	928	1270	918
NCALD:ENSG00000104490	11	6	5	1	4	6	6	4
SNX16:ENSG00000104497	72	106	158	176	240	226	265	184
GML:ENSG00000104499	0	0	0	0	0	0	0	0
UBR5:ENSG00000104517	4530	4629	5992	4848	7370	6616	9333	6512
GSDMD:ENSG00000104518	91	71	60	48	38	34	34	23
TSTA3:ENSG00000104522	436	464	537	412	648	601	738	577
PYCR3:ENSG00000104524	235	235	244	153	188	146	168	128
EEF1D:ENSG00000104529	5449	6528	6375	5168	6416	5957	8009	5627
ANXA13:ENSG00000104537	14	14	4	5	0	4	1	1
SQLE:ENSG00000104549	1067	1104	864	799	1059	997	1847	1239
SH2D4A:ENSG00000104611	1026	907	835	622	891	818	1622	1067
INTS10:ENSG00000104613	1047	971	839	679	918	723	1572	1149
ERI1:ENSG00000104626	663	682	782	719	897	783	1174	808
SLC39A14:ENSG00000104635	3847	4227	4680	3779	5560	4938	7759	5171
MTMR9:ENSG00000104643	637	595	847	723	1054	897	1122	728
LEPROTL1:ENSG00000104660	791	708	701	582	760	755	1057	718
DCTN6:ENSG00000104671	833	845	1016	844	1205	959	1637	1116
R3HCC1:ENSG00000104679	478	497	493	343	537	418	663	525
GSR:ENSG00000104687	2275	2093	2026	1715	2151	1904	2313	1781
TNFRSF10A:ENSG00000104689	1710	1905	1951	1678	1969	1684	2762	2069
UBXN8:ENSG00000104691	259	236	247	176	263	219	275	215
PPP2CB:ENSG00000104695	1946	2239	2272	1952	2656	2253	3658	2562
ERICH1:ENSG00000104714	163	187	244	184	244	225	324	236
NEFM:ENSG00000104722	4	7	3	10	4	6	9	5
TUSC3:ENSG00000104723	556	516	560	436	643	599	784	672
ARHGEF10:ENSG00000104728	979	1035	1188	878	1412	1308	1991	1415
KLHDC4:ENSG00000104731	368	410	492	336	502	425	625	410
MCM4:ENSG00000104738	682	851	703	555	699	567	693	509
ADAM2:ENSG00000104755	0	0	0	0	0	0	0	0
KCTD9:ENSG00000104756	1204	1286	1222	1047	1395	1213	1806	1384
FGL1:ENSG00000104760	57	39	30	20	16	29	14	8
ASAH1:ENSG00000104763	641	547	496	455	535	488	641	442
BNIP3L:ENSG00000104765	2039	2067	1878	1568	1877	1621	2830	2069
MAN2B1:ENSG00000104774	243	235	240	181	221	216	174	163
KCNN4:ENSG00000104783	485	488	429	359	386	390	419	261
TULP2:ENSG00000104804	0	2	0	0	0	1	0	1
NUCB1:ENSG00000104805	1125	1113	978	819	876	742	825	613
DHDH:ENSG00000104808	7	8	9	5	17	8	8	12
GYS1:ENSG00000104812	210	182	225	162	233	214	281	177
MAP4K1:ENSG00000104814	7	4	3	0	4	6	5	0
CGB2:ENSG00000104818	0	3	0	8	4	1	3	0
ECH1:ENSG00000104823	2319	2059	2273	1771	2380	2225	2971	2263
HNRNPL:ENSG00000104824	9408	12014	10142	8237	10817	9082	13677	9280
NFKBIB:ENSG00000104825	1504	2085	2465	2031	3231	2703	3750	2496
LHB:ENSG00000104826	0	1	0	0	0	0	0	0
CGB3:ENSG00000104827	0	0	2	0	0	2	14	2
TUBB4A:ENSG00000104833	27	18	18	10	9	9	14	17
SARS2:ENSG00000104835	242	322	305	209	281	235	243	165
KCNA7:ENSG00000104848	0	0	0	2	1	3	2	3
SNRNP70:ENSG00000104852	4316	5234	4688	3782	5383	4783	7043	4620
CLPTM1:ENSG00000104853	3761	3738	4088	2967	4223	3845	5207	3518
RELB:ENSG00000104856	415	566	781	643	1238	1003	1345	933
CLASRP:ENSG00000104859	1927	2011	2160	1755	2383	2085	2596	1981
LIN7B:ENSG00000104863	33	32	41	24	35	34	40	28
PPP1R37:ENSG00000104866	805	857	941	724	985	926	1271	944
FCGRT:ENSG00000104870	165	175	190	126	137	136	143	97
PIH1D1:ENSG00000104872	511	577	554	393	587	538	722	483
CKM:ENSG00000104879	1	3	1	1	1	0	2	1
ARHGEF18:ENSG00000104880	1096	1203	2535	2164	3556	3753	2104	1317
PPP1R13L:ENSG00000104881	407	524	948	741	1396	1473	1391	811
PEX11G:ENSG00000104883	32	42	28	23	27	35	30	28
ERCC2:ENSG00000104884	213	234	221	170	200	182	221	157
DOT1L:ENSG00000104885	671	697	1216	907	1710	1567	1841	1186
PLEKHJ1:ENSG00000104886	258	233	217	171	213	204	246	165
SLC17A7:ENSG00000104888	10	14	8	8	4	9	10	5
RNASEH2A:ENSG00000104889	120	168	126	101	110	103	91	66
KLC3:ENSG00000104892	16	36	22	25	26	25	35	24
CD37:ENSG00000104894	0	1	0	0	0	0	0	0
SF3A2:ENSG00000104897	1353	1514	1738	1368	1787	1630	2454	1546
AMH:ENSG00000104899	444	421	621	443	784	746	981	605
DKKL1:ENSG00000104901	0	1	2	0	1	0	1	3
LYL1:ENSG00000104903	1	1	1	2	1	1	1	1
OAZ1:ENSG00000104904	2678	3002	3045	2348	3460	3129	4403	3108
TRMT1:ENSG00000104907	499	496	536	397	476	473	580	448
STX10:ENSG00000104915	174	107	147	147	135	123	103	91
RETN:ENSG00000104918	0	0	0	0	0	0	0	0
FCER2:ENSG00000104921	1	0	0	2	2	1	0	0
DMPK:ENSG00000104936	1016	1066	1443	1013	1571	1600	1763	1255
CLEC4M:ENSG00000104938	0	0	0	0	0	0	0	0
RSPH6A:ENSG00000104941	0	0	8	1	8	4	12	6
TBC1D17:ENSG00000104946	407	459	504	383	482	456	498	364
IL4I1:ENSG00000104951	2	1	2	1	0	0	3	1
TLE6:ENSG00000104953	8	11	12	8	11	6	5	3
CCDC130:ENSG00000104957	429	481	595	456	673	556	756	546
PTOV1:ENSG00000104960	885	835	811	600	779	686	866	591
TLE5:ENSG00000104964	889	864	846	637	800	684	765	615
NOVA2:ENSG00000104967	6	4	4	1	1	6	6	3
SGTA:ENSG00000104969	2143	2637	2493	1921	2516	2283	2856	2105
KIR3DX1:ENSG00000104970	0	0	0	0	0	0	0	0
LILRB1:ENSG00000104972	0	0	0	0	0	0	0	0
MED25:ENSG00000104973	274	281	229	166	193	176	262	175
LILRA1:ENSG00000104974	0	0	0	0	0	0	0	0
SNAPC2:ENSG00000104976	201	181	178	136	194	151	295	221
C19orf53:ENSG00000104979	563	661	674	468	623	589	882	618
TIMM44:ENSG00000104980	936	1079	1105	798	1194	1001	1360	985
CCDC61:ENSG00000104983	25	16	14	16	18	8	13	14
IL27RA:ENSG00000104998	64	49	43	22	44	36	54	42
ASF1B:ENSG00000105011	58	79	47	55	56	48	38	14
TNNT1:ENSG00000105048	361	378	333	252	302	270	329	264
VRK3:ENSG00000105053	359	359	356	312	416	345	414	300
FAM32A:ENSG00000105058	852	1064	1315	1071	1479	1386	1857	1301
PPP6R1:ENSG00000105063	2901	3136	3173	2337	3405	2976	4100	2812
C19orf44:ENSG00000105072	167	160	175	163	205	174	265	206
MED26:ENSG00000105085	113	132	199	130	174	135	237	156
OLFM2:ENSG00000105088	83	86	145	121	239	293	219	131
RASAL3:ENSG00000105122	0	1	1	2	1	0	0	0
AKAP8:ENSG00000105127	507	509	597	515	595	523	691	516
EPHX3:ENSG00000105131	2	1	3	2	3	0	2	1
ILVBL:ENSG00000105135	334	379	393	277	363	308	335	199
ZNF419:ENSG00000105136	289	263	335	269	347	294	503	316
SYDE1:ENSG00000105137	161	162	171	98	129	104	221	141
CASP14:ENSG00000105141	0	0	0	0	0	0	0	0
SLC1A6:ENSG00000105143	0	0	0	0	0	0	0	0
AURKC:ENSG00000105146	2	7	5	5	5	3	12	5
POP4:ENSG00000105171	561	596	512	450	570	500	717	505
CCNE1:ENSG00000105173	52	47	41	34	44	28	98	63
URI1:ENSG00000105176	950	883	794	773	889	819	1260	986
PDCD5:ENSG00000105185	837	890	774	662	805	723	1022	804
ANKRD27:ENSG00000105186	817	712	510	508	433	404	798	611
RPS16:ENSG00000105193	24057	27053	28096	22478	29540	27598	39448	30146
TIMM50:ENSG00000105197	1722	1886	2119	1737	2464	2145	3104	2227
LGALS13:ENSG00000105198	2	0	0	1	1	1	0	0
FBL:ENSG00000105202	2968	3250	2978	2379	3046	2590	3593	2447
DYRK1B:ENSG00000105204	491	561	474	384	443	410	544	362
CLC:ENSG00000105205	2	0	1	0	0	0	0	0
CNTD2:ENSG00000105219	13	27	48	22	41	41	74	29
GPI:ENSG00000105220	2940	3004	2925	2341	2610	2370	2757	2128
AKT2:ENSG00000105221	2858	3038	2999	2252	2978	2537	3145	2244
PLD3:ENSG00000105223	1839	1746	1836	1253	1599	1502	1704	1267
PRX:ENSG00000105227	92	79	58	55	66	61	71	72
PIAS4:ENSG00000105229	343	325	308	193	259	238	418	309
NUMBL:ENSG00000105245	214	183	193	174	252	239	382	251
EBI3:ENSG00000105246	9	11	7	7	3	5	7	6
YJU2:ENSG00000105248	385	420	364	299	409	303	587	421
SHD:ENSG00000105251	0	0	0	0	0	0	0	0
TBCB:ENSG00000105254	1055	1019	971	759	840	734	1003	681
FSD1:ENSG00000105255	4	7	9	8	5	10	2	4
POLR2I:ENSG00000105258	262	277	272	207	206	201	238	190
OVOL3:ENSG00000105261	0	0	0	0	0	1	0	0
CLIP3:ENSG00000105270	49	37	39	31	42	32	58	40
ZFR2:ENSG00000105278	1	2	2	1	2	2	4	3
SLC1A5:ENSG00000105281	9944	9144	6610	4981	5039	4553	8777	6523
PRKD2:ENSG00000105287	539	586	633	486	488	448	619	397
TJP3:ENSG00000105289	19	8	3	6	2	4	1	3
APLP1:ENSG00000105290	441	440	451	278	434	376	499	378
CACTIN:ENSG00000105298	440	541	698	522	749	686	820	558
CCDC9:ENSG00000105321	797	893	1100	905	1208	996	1269	882
HNRNPUL1:ENSG00000105323	7587	7357	7835	6397	8497	7583	10457	7581
FZR1:ENSG00000105325	401	370	407	333	377	371	463	345
BBC3:ENSG00000105327	2159	2795	2641	1993	2874	2342	4073	2700
TGFB1:ENSG00000105329	1117	1131	1300	973	1964	1770	2349	1703
DENND3:ENSG00000105339	704	728	831	651	906	869	915	638
DMAC2:ENSG00000105341	602	676	806	638	786	691	876	626
CEACAM4:ENSG00000105352	0	0	0	0	0	0	0	0
PLIN3:ENSG00000105355	1815	2290	2619	2040	2959	2602	3261	2483
MYH14:ENSG00000105357	84	98	177	131	186	162	214	157
MRPL4:ENSG00000105364	442	469	462	353	495	413	663	428
SIGLEC8:ENSG00000105366	0	0	0	0	0	0	0	0
CD79A:ENSG00000105369	2	5	2	3	5	3	5	2
LIM2:ENSG00000105370	0	0	0	0	0	1	0	0
ICAM4:ENSG00000105371	0	0	0	1	0	0	0	1
RPS19:ENSG00000105372	23052	28468	27969	22781	31228	27844	44271	30625
NOP53:ENSG00000105373	2060	2242	2348	1883	2358	1923	2230	1624
NKG7:ENSG00000105374	0	0	0	0	0	0	1	0
ICAM5:ENSG00000105376	14	9	8	4	13	8	8	4
ETFB:ENSG00000105379	1283	1415	1198	985	1191	1091	1272	970
CD33:ENSG00000105383	1	0	0	1	0	0	0	0
CEACAM5:ENSG00000105388	5	0	8	4	3	2	4	3
CRX:ENSG00000105392	0	0	0	0	0	0	0	0
BABAM1:ENSG00000105393	355	419	353	299	354	312	390	251
TYK2:ENSG00000105397	369	357	397	291	377	359	454	295
SULT2A1:ENSG00000105398	0	1	0	0	0	0	0	0
CDC37:ENSG00000105401	1612	1667	2003	1562	2143	1989	2584	1779
NAPA:ENSG00000105402	2205	2503	2422	1798	2606	2363	3359	2354
RABAC1:ENSG00000105404	465	467	441	323	328	395	339	253
ATP1A3:ENSG00000105409	40	66	46	34	49	42	35	21
MEIS3:ENSG00000105419	337	372	348	267	355	301	380	282
PTPRS:ENSG00000105426	429	310	311	245	374	283	399	247
CNFN:ENSG00000105427	17	18	16	20	12	17	9	10
ZNRF4:ENSG00000105428	0	0	0	1	0	0	0	0
MEGF8:ENSG00000105429	1808	1728	1989	1399	2059	1802	2511	1701
KDELR1:ENSG00000105438	2479	2584	2527	1869	2524	2170	3033	2128
CYTH2:ENSG00000105443	1211	1337	1655	1171	1557	1355	1597	1033
GRWD1:ENSG00000105447	1410	1721	2045	1529	1774	1631	2016	1281
GRIN2D:ENSG00000105464	336	279	393	304	418	365	304	231
SYNGR4:ENSG00000105467	1	2	4	5	2	1	2	0
CLEC11A:ENSG00000105472	35	57	52	35	46	35	48	50
CCDC114:ENSG00000105479	6	4	3	1	2	3	1	1
CARD8:ENSG00000105483	255	241	267	267	336	339	422	299
LIG1:ENSG00000105486	341	366	417	309	364	347	457	259
SIGLEC6:ENSG00000105492	0	0	0	0	0	0	0	0
ZNF175:ENSG00000105497	267	294	368	291	472	427	505	367
PLA2G4C:ENSG00000105499	214	251	331	236	437	403	589	356
SIGLEC5:ENSG00000105501	1	1	0	0	0	1	0	0
CABP5:ENSG00000105507	0	0	0	0	0	0	1	0
HAS1:ENSG00000105509	0	0	0	0	0	0	1	0
RAB3D:ENSG00000105514	83	57	15	18	8	8	32	28
DBP:ENSG00000105516	36	47	26	20	18	18	34	26
TMEM205:ENSG00000105518	687	692	662	487	629	521	660	487
CAPS:ENSG00000105519	72	96	54	27	27	29	44	26
PLPPR2:ENSG00000105520	206	232	261	191	262	233	337	229
FAM83E:ENSG00000105523	1	2	6	4	9	4	11	7
RASIP1:ENSG00000105538	5	10	8	2	1	7	14	3
THEG:ENSG00000105549	3	4	6	4	9	12	12	6
FGF21:ENSG00000105550	0	0	0	0	0	0	0	0
BCAT2:ENSG00000105552	365	331	330	235	344	276	377	248
MIER2:ENSG00000105556	283	221	322	266	287	254	432	283
PLEKHA4:ENSG00000105559	5	2	11	2	10	10	8	10
PPP2R1A:ENSG00000105568	3331	3303	4106	2831	3771	3437	4528	3254
TNPO2:ENSG00000105576	784	805	820	635	864	787	978	702
WDR83OS:ENSG00000105583	1197	1319	1486	1052	1506	1448	2145	1477
CACNG7:ENSG00000105605	118	96	97	93	91	80	88	73
GCDH:ENSG00000105607	60	84	61	62	55	59	49	40
LILRB5:ENSG00000105609	0	1	1	1	0	0	0	0
KLF1:ENSG00000105610	0	0	0	0	0	0	0	0
DNASE2:ENSG00000105612	311	240	256	188	235	186	209	185
MAST1:ENSG00000105613	11	8	3	11	12	11	28	23
LENG1:ENSG00000105617	121	173	238	199	198	165	167	120
PRPF31:ENSG00000105618	950	989	1102	854	1187	1069	1499	1053
TFPT:ENSG00000105619	418	472	441	363	456	365	505	361
JAK3:ENSG00000105639	15	14	10	14	8	3	7	4
RPL18A:ENSG00000105640	8483	9941	10293	7671	10654	9202	13975	10354
SLC5A5:ENSG00000105641	0	1	0	0	0	1	2	0
KCNN1:ENSG00000105642	2	2	3	1	7	2	4	5
ARRDC2:ENSG00000105643	581	645	1242	1026	1535	1533	1299	901
PIK3R2:ENSG00000105647	128	81	124	80	60	96	99	79
RAB3A:ENSG00000105649	2	2	2	2	1	2	2	0
PDE4C:ENSG00000105650	42	66	60	49	55	47	103	64
ISYNA1:ENSG00000105655	145	171	198	135	193	198	209	134
ELL:ENSG00000105656	697	875	1196	902	1339	1271	1734	1095
CRTC1:ENSG00000105662	120	100	186	129	181	183	143	84
COMP:ENSG00000105664	2	1	0	1	1	2	3	0
UPK1A:ENSG00000105668	6	8	6	4	2	4	7	9
COPE:ENSG00000105669	1354	1620	1796	1257	1742	1581	2423	1613
DDX49:ENSG00000105671	408	432	424	340	410	332	466	340
ETV2:ENSG00000105672	4	8	2	1	4	1	1	3
ATP4A:ENSG00000105675	0	0	1	1	0	0	0	0
ARMC6:ENSG00000105676	173	195	216	170	172	152	227	136
TMEM147:ENSG00000105677	1137	1335	1320	910	1261	1069	1632	1074
GAPDHS:ENSG00000105679	0	0	0	0	0	1	0	1
ELOCP28:ENSG00000105694	0	0	0	0	0	0	0	0
MAG:ENSG00000105695	1	0	2	0	0	1	1	0
TMEM59L:ENSG00000105696	70	59	59	46	80	87	139	72
HAMP:ENSG00000105697	0	1	0	0	1	2	1	0
USF2:ENSG00000105698	1065	992	890	715	865	844	1105	791
LSR:ENSG00000105699	333	291	434	318	407	388	402	274
KXD1:ENSG00000105700	526	586	760	597	696	626	801	614
FKBP8:ENSG00000105701	931	787	956	677	881	789	848	637
SUGP1:ENSG00000105705	387	343	422	323	433	374	550	408
HPN:ENSG00000105707	1	0	1	2	2	4	2	1
ZNF14:ENSG00000105708	331	301	348	346	428	368	538	375
SCN1B:ENSG00000105711	67	46	46	39	52	53	49	38
PBX4:ENSG00000105717	6	6	7	5	6	4	8	7
ERF:ENSG00000105722	984	1168	1758	1345	1353	1147	1536	1041
GSK3A:ENSG00000105723	2485	2636	3199	2512	3444	3037	4512	3247
ATP13A1:ENSG00000105726	699	667	843	629	810	735	929	700
ZNF574:ENSG00000105732	685	749	1082	808	967	786	1347	888
GRIK5:ENSG00000105737	38	51	31	29	42	46	50	36
SIPA1L3:ENSG00000105738	1755	1884	1995	1577	1748	1525	2287	1556
ZNF85:ENSG00000105750	0	1	1	1	1	1	1	0
ETHE1:ENSG00000105755	261	245	227	184	208	192	185	137
CADM4:ENSG00000105767	130	103	130	81	113	127	138	81
SMG9:ENSG00000105771	1766	1985	2238	1682	2290	2117	2538	1628
AVL9:ENSG00000105778	1508	1408	2062	1630	2261	2089	2798	1878
RUNDC3B:ENSG00000105784	1	0	0	0	3	0	8	4
CFAP69:ENSG00000105792	35	41	50	53	58	52	57	41
GTPBP10:ENSG00000105793	591	605	668	664	817	723	1029	780
RASA4:ENSG00000105808	25	22	36	27	19	29	22	24
CDK6:ENSG00000105810	3452	3327	2573	2344	2094	1799	3318	2390
PMPCB:ENSG00000105819	974	1092	1051	894	1397	1173	1621	1219
DNAJC2:ENSG00000105821	969	1258	1534	1358	1699	1484	2060	1500
TFPI2:ENSG00000105825	1782	1771	1592	1360	1759	1666	1880	1457
BET1:ENSG00000105829	414	398	407	328	462	383	524	372
NAMPT:ENSG00000105835	2801	2528	3110	2786	3421	2926	4331	3071
TWISTNB:ENSG00000105849	620	609	817	689	965	819	1279	959
PIK3CG:ENSG00000105851	0	0	0	2	1	2	3	1
PON3:ENSG00000105852	113	108	88	74	101	80	91	61
PON2:ENSG00000105854	1833	1702	1455	1275	1529	1344	1761	1284
ITGB8:ENSG00000105855	10	11	7	5	15	15	42	32
HBP1:ENSG00000105856	2263	2560	2108	1785	2693	2596	4473	3328
DUS4L:ENSG00000105865	163	169	118	96	114	144	186	154
SP4:ENSG00000105866	309	294	475	466	589	500	691	485
WDR91:ENSG00000105875	174	165	190	147	180	188	242	133
DNAH11:ENSG00000105877	13	16	14	8	17	20	22	10
CBLL1:ENSG00000105879	904	937	1604	1377	1706	1488	2039	1396
DLX5:ENSG00000105880	0	0	0	0	0	1	0	0
MTPN:ENSG00000105887	3608	3712	4620	4007	5569	4842	7714	5299
STEAP1B:ENSG00000105889	0	0	0	0	0	0	0	0
PTN:ENSG00000105894	1	0	0	0	0	0	0	0
MPP6:ENSG00000105926	168	117	134	101	131	106	221	187
GSDME:ENSG00000105928	209	182	138	127	113	108	181	102
ATP6V0A4:ENSG00000105929	1	5	5	0	4	4	5	0
ZC3HAV1:ENSG00000105939	1055	1009	704	640	759	696	1932	1336
TTC26:ENSG00000105948	428	406	433	381	500	460	666	516
OGDH:ENSG00000105953	1857	1887	2412	1916	2548	2248	2774	2040
NPVF:ENSG00000105954	0	0	0	0	0	0	0	0
ADAP1:ENSG00000105963	21	22	25	15	26	23	27	23
TFEC:ENSG00000105967	6	1	8	3	7	1	6	4
H2AZ2:ENSG00000105968	1625	1920	1787	1498	2098	1910	2633	1872
CAV2:ENSG00000105971	2330	2193	2236	1799	2140	2100	3012	2219
CAV1:ENSG00000105974	10772	12216	11072	9190	10921	9463	15956	11275
